Metric_Code,Base Year,Value
MLCON000019477,2002,3.13427E+12
MLCON000019478,2002,2.9507E+12
MLCON000019479,2002,2.90801E+12
MLCON000019480,2002,2.3087E+12
MLCON000019481,2002,2.07249E+12
MLCON000019482,2002,2.5763E+12
MLCON000019483,2002,2.82136E+12
MLCON000019484,2002,2.9161E+12
MLCON000019485,2002,2.37138E+12
MLCON000019486,2002,2.01854E+12
MLCON000000039,2004,1.36E+11
MLCON000000040,2004,1.47E+11
MLCON000000041,2004,1.54E+11
MLCON000000042,2004,1.63E+11
MLCON000000043,2004,1.54E+11
MLCON000000044,2004,1.35E+11
MLCON000000045,2004,1.49E+11
MLCON000000046,2004,1.48E+11
MLCON000000047,2004,1.37E+11
MLCON000000048,2004,1.30E+11
MLCON000000049,2004,1.15E+11
MLCON000004021,2004,7.35692E+11
MLCON000004022,2004,7.36391E+11
MLCON000004023,2004,7.05854E+11
MLCON000004024,2004,6.75198E+11
MLCON000004025,2004,6.13478E+11
MLCON000004026,2004,5.68177E+11
MLCON000004027,2004,5.46072E+11
MLCON000004028,2004,5.1943E+11
MLCON000004029,2004,4.76602E+11
MLCON000004030,2004,4.43569E+11
MLCON000004031,2004,4.05802E+11
MLCON000007988,2004,8.72952E+11
MLCON000007989,2004,8.68875E+11
MLCON000007990,2004,8.44508E+11
MLCON000007991,2004,8.37791E+11
MLCON000007992,2004,7.72967E+11
MLCON000007993,2004,7.06218E+11
MLCON000007994,2004,7.05865E+11
MLCON000007995,2004,6.84807E+11
MLCON000007996,2004,6.34283E+11
MLCON000007997,2004,5.85266E+11
MLCON000007998,2004,5.35828E+11
MLCON000011969,2004,1.6428E+11
MLCON000011970,2004,1.75289E+11
MLCON000011971,2004,1.67101E+11
MLCON000011972,2004,1.93716E+11
MLCON000011973,2004,1.63588E+11
MLCON000011974,2004,1.20213E+11
MLCON000011975,2004,1.5567E+11
MLCON000011976,2004,1.4588E+11
MLCON000011977,2004,1.26431E+11
MLCON000011978,2004,1.07206E+11
MLCON000011979,2004,96443944000
MLCON000015856,2004,1.6473E+11
MLCON000015857,2004,1.88529E+11
MLCON000015858,2004,1.82036E+11
MLCON000015859,2004,1.93897E+11
MLCON000015860,2004,1.58195E+11
MLCON000015861,2004,1.17318E+11
MLCON000015862,2004,1.45043E+11
MLCON000015863,2004,1.2806E+11
MLCON000015864,2004,1.05535E+11
MLCON000015865,2004,95159303238
MLCON000015866,2004,81622126612
MLCON000000566,2005,3.39E+12
MLCON000000567,2005,3.23E+12
MLCON000000568,2005,3.15E+12
MLCON000000569,2005,3.21E+12
MLCON000000570,2005,3.23E+12
MLCON000000571,2005,3.03E+12
MLCON000000572,2005,2.88E+12
MLCON000000573,2005,2.77E+12
MLCON000000574,2005,2.68E+12
MLCON000000575,2005,2.49E+12
MLCON000000576,2005,2.38E+12
MLCON000000577,2005,2.68E+12
MLCON000000578,2005,2.76E+12
MLCON000000579,2005,2.41E+12
MLCON000000580,2005,2.33E+12
MLCON000001259,2005,8472471000
MLCON000001261,2005,8014217000
MLCON000001263,2005,8434734000
MLCON000001265,2005,8577499000
MLCON000001267,2005,8230807000
MLCON000001269,2005,8019790000
MLCON000001271,2005,8649194000
MLCON000001273,2005,8800987000
MLCON000001275,2005,8359442000
MLCON000001277,2005,8254855000
MLCON000001279,2005,8088905000
MLCON000001281,2005,7892307000
MLCON000001744,2005,3.25E+13
MLCON000001746,2005,3.06E+13
MLCON000001748,2005,2.94E+13
MLCON000001750,2005,2.75E+13
MLCON000001752,2005,2.65E+13
MLCON000001754,2005,2.47E+13
MLCON000001756,2005,2.26E+13
MLCON000001758,2005,2.17E+13
MLCON000001760,2005,2.21E+13
MLCON000001762,2005,2.07E+13
MLCON000001764,2005,1.87E+13
MLCON000001766,2005,2.09E+13
MLCON000001768,2005,1.96E+13
MLCON000001770,2005,1.69E+13
MLCON000001772,2005,1.41E+13
MLCON000001774,2005,1.25E+13
MLCON000001776,2005,1.06E+13
MLCON000001778,2005,9.99E+12
MLCON000001780,2005,9.45E+12
MLCON000001782,2005,8.68E+12
MLCON000001784,2005,6.94E+12
MLCON000001786,2005,6.21E+12
MLCON000001788,2005,5.38E+12
MLCON000001790,2005,4.38E+12
MLCON000001792,2005,4.01E+12
MLCON000001794,2005,6.54E+11
MLCON000001795,2005,6.44E+11
MLCON000001796,2005,6.10E+11
MLCON000001797,2005,5.50E+11
MLCON000001798,2005,5.04E+11
MLCON000001799,2005,4.89E+11
MLCON000001800,2005,4.58E+11
MLCON000001801,2005,4.42E+11
MLCON000001802,2005,4.28E+11
MLCON000001803,2005,4.23E+11
MLCON000001804,2005,3.91E+11
MLCON000001805,2005,3.78E+11
MLCON000001806,2005,3.07E+11
MLCON000001807,2005,3.22E+11
MLCON000001808,2005,3.01E+11
MLCON000001809,2005,2.78E+11
MLCON000001810,2005,2.75E+11
MLCON000001811,2005,2.66E+11
MLCON000001812,2005,2.50E+11
MLCON000001813,2005,2.40E+11
MLCON000001814,2005,2.33E+11
MLCON000001815,2005,2.30E+11
MLCON000001816,2005,2.19E+11
MLCON000001817,2005,2.03E+11
MLCON000002363,2005,67641100000
MLCON000002365,2005,64047400000
MLCON000002367,2005,62214800000
MLCON000002369,2005,59263200000
MLCON000002371,2005,54788800000
MLCON000002373,2005,62743300000
MLCON000002375,2005,58465100000
MLCON000002377,2005,54296000000
MLCON000002379,2005,48270000000
MLCON000002381,2005,45754600000
MLCON000002383,2005,41303000000
MLCON000002385,2005,40162400000
MLCON000002387,2005,39244300000
MLCON000002389,2005,37123900000
MLCON000002391,2005,32970845833
MLCON000002393,2005,28858236741
MLCON000002395,2005,25958044149
MLCON000002397,2005,23308527843
MLCON000002399,2005,22790851679
MLCON000002790,2005,2.81E+11
MLCON000002791,2005,3.16E+11
MLCON000002792,2005,2.94E+11
MLCON000002793,2005,2.61E+11
MLCON000002794,2005,2.41E+11
MLCON000002795,2005,2.21E+11
MLCON000002796,2005,2.04E+11
MLCON000002797,2005,1.75E+11
MLCON000002798,2005,1.65E+11
MLCON000002799,2005,1.62E+11
MLCON000002800,2005,1.39E+11
MLCON000002801,2005,1.12E+11
MLCON000002802,2005,1.31E+11
MLCON000002803,2005,1.37E+11
MLCON000002804,2005,1.20E+11
MLCON000002805,2005,1.07E+11
MLCON000002806,2005,91041388444
MLCON000002807,2005,77687431254
MLCON000002808,2005,77427780463
MLCON000002809,2005,81383914892
MLCON000002810,2005,94845803447
MLCON000002813,2005,8.98E+11
MLCON000002815,2005,9.04E+11
MLCON000002817,2005,9.06E+11
MLCON000002819,2005,8.97E+11
MLCON000002821,2005,8.56E+11
MLCON000002823,2005,8.31E+11
MLCON000002825,2005,8.45E+11
MLCON000002827,2005,8.32E+11
MLCON000002829,2005,8.39E+11
MLCON000002831,2005,8.34E+11
MLCON000002833,2005,8.70E+11
MLCON000002835,2005,8.68E+11
MLCON000002837,2005,8.57E+11
MLCON000002839,2005,8.64E+11
MLCON000002841,2005,8.60E+11
MLCON000002843,2005,8.51E+11
MLCON000002845,2005,8.52E+11
MLCON000002847,2005,8.54E+11
MLCON000002849,2005,8.19E+11
MLCON000002851,2005,7.94E+11
MLCON000002853,2005,7.72E+11
MLCON000002855,2005,7.66E+11
MLCON000002857,2005,7.11E+11
MLCON000002859,2005,6.46E+11
MLCON000004548,2005,1.34993E+13
MLCON000004549,2005,1.29707E+13
MLCON000004550,2005,1.24022E+13
MLCON000004551,2005,1.2006E+13
MLCON000004552,2005,1.16207E+13
MLCON000004553,2005,1.10457E+13
MLCON000004554,2005,1.05079E+13
MLCON000004555,2005,9.90741E+12
MLCON000004556,2005,9.48954E+12
MLCON000004557,2005,9.15481E+12
MLCON000004558,2005,8.82925E+12
MLCON000004559,2005,8.61386E+12
MLCON000004560,2005,8.25273E+12
MLCON000004561,2005,7.82088E+12
MLCON000004562,2005,7.55424E+12
MLCON000005241,2005,12711953000
MLCON000005243,2005,12912518000
MLCON000005245,2005,13706616000
MLCON000005247,2005,13863116000
MLCON000005249,2005,13644936000
MLCON000005251,2005,13549259000
MLCON000005253,2005,14106736000
MLCON000005255,2005,13124723000
MLCON000005257,2005,12072558000
MLCON000005259,2005,11464697000
MLCON000005261,2005,11102349000
MLCON000005263,2005,10460126000
MLCON000005726,2005,2.01859E+13
MLCON000005728,2005,1.93921E+13
MLCON000005730,2005,1.87056E+13
MLCON000005732,2005,1.79714E+13
MLCON000005734,2005,1.73353E+13
MLCON000005736,2005,1.67806E+13
MLCON000005738,2005,1.62725E+13
MLCON000005740,2005,1.61314E+13
MLCON000005742,2005,1.64826E+13
MLCON000005744,2005,1.63935E+13
MLCON000005746,2005,1.67332E+13
MLCON000005748,2005,1.75389E+13
MLCON000005750,2005,1.75521E+13
MLCON000005752,2005,1.76423E+13
MLCON000005754,2005,1.73605E+13
MLCON000005756,2005,1.69182E+13
MLCON000005758,2005,1.66388E+13
MLCON000005760,2005,1.54815E+13
MLCON000005762,2005,1.44402E+13
MLCON000005764,2005,1.38342E+13
MLCON000005766,2005,1.3378E+13
MLCON000005768,2005,1.27146E+13
MLCON000005770,2005,1.23812E+13
MLCON000005772,2005,1.22409E+13
MLCON000005774,2005,1.25608E+13
MLCON000005776,2005,1.07464E+12
MLCON000005777,2005,1.03049E+12
MLCON000005778,2005,9.66174E+11
MLCON000005779,2005,9.1574E+11
MLCON000005780,2005,8.85155E+11
MLCON000005781,2005,8.62576E+11
MLCON000005782,2005,8.55608E+11
MLCON000005783,2005,8.49313E+11
MLCON000005784,2005,8.36245E+11
MLCON000005785,2005,8.47581E+11
MLCON000005786,2005,9.31094E+11
MLCON000005787,2005,9.60467E+11
MLCON000005788,2005,9.06548E+11
MLCON000005789,2005,8.71616E+11
MLCON000005790,2005,8.00199E+11
MLCON000005791,2005,7.576E+11
MLCON000005792,2005,7.23163E+11
MLCON000005793,2005,7.14515E+11
MLCON000005794,2005,7.18946E+11
MLCON000005795,2005,6.89621E+11
MLCON000005796,2005,6.46355E+11
MLCON000005797,2005,5.89723E+11
MLCON000005798,2005,5.60276E+11
MLCON000005799,2005,5.39054E+11
MLCON000006345,2005,18501500000
MLCON000006347,2005,18017300000
MLCON000006349,2005,17578000000
MLCON000006351,2005,17362600000
MLCON000006353,2005,16956400000
MLCON000006355,2005,16651900000
MLCON000006357,2005,16526200000
MLCON000006359,2005,16168500000
MLCON000006361,2005,15725900000
MLCON000006363,2005,15195100000
MLCON000006365,2005,15011200000
MLCON000006367,2005,14738500000
MLCON000006369,2005,14110000000
MLCON000006371,2005,13580100000
MLCON000006373,2005,12942641460
MLCON000006375,2005,12346334443
MLCON000006377,2005,11802490742
MLCON000006379,2005,11384832041
MLCON000006381,2005,10953423661
MLCON000006773,2005,3.9171E+11
MLCON000006774,2005,4.03163E+11
MLCON000006775,2005,3.92413E+11
MLCON000006776,2005,3.79911E+11
MLCON000006777,2005,3.75345E+11
MLCON000006778,2005,3.67466E+11
