Uniq ID,Year,From Currency,To Currency,Average,Inv Avg
CURR_21717,1961,CNY,AFA,7195.908944,0.000138968
CURR_21718,1960,CNY,AFA,7195.908944,0.000138968
CURR_21719,2021,CNY,AFN,12.952,0.077208153
CURR_21720,2020,CNY,AFN,11.116993,0.089952382
CURR_21721,2019,CNY,AFN,11.226977,0.089071172
CURR_21722,2018,CNY,AFN,10.91918,0.091581969
CURR_21723,2017,CNY,AFN,10.058608,0.099417335
CURR_21724,2016,CNY,AFN,10.207363,0.097968496
CURR_21725,2015,CNY,AFN,9.735513,0.102716724
CURR_21726,2014,CNY,AFN,9.197646,0.108723471
CURR_21727,2013,CNY,AFN,8.814732,0.113446444
CURR_21728,2012,CNY,AFN,7.794107,0.128302062
CURR_21729,2011,CNY,AFN,6.884116,0.145261933
CURR_21730,2010,CNY,AFN,6.67874,0.149728841
CURR_21731,2009,CNY,AFN,7.086373,0.141115914
CURR_21732,2008,CNY,AFN,6.815853,0.146716779
CURR_21733,2021,CNY,ALL,16.061028,0.062262515
CURR_21734,2020,CNY,ALL,15.731466,0.063566867
CURR_21735,2019,CNY,ALL,15.910604,0.062851165
CURR_21736,2018,CNY,ALL,16.34923,0.06116496
CURR_21737,2017,CNY,ALL,17.597574,0.056826015
CURR_21738,2016,CNY,ALL,18.675858,0.053545063
CURR_21739,2015,CNY,ALL,20.04199,0.049895245
CURR_21740,2014,CNY,ALL,17.12827,0.058383012
CURR_21741,2013,CNY,ALL,17.188056,0.058179936
CURR_21742,2012,CNY,ALL,17.151399,0.058304282
CURR_21743,2011,CNY,ALL,15.618117,0.064028205
CURR_21744,2010,CNY,ALL,15.386691,0.064991232
CURR_21745,2009,CNY,ALL,13.884547,0.072022515
CURR_21746,2008,CNY,ALL,12.075831,0.082810036
CURR_21747,2007,CNY,ALL,11.865499,0.084277956
CURR_21748,2006,CNY,ALL,12.302969,0.081281193
CURR_21749,2005,CNY,ALL,12.199924,0.081967724
CURR_21750,2004,CNY,ALL,12.689236,0.078806951
CURR_21751,2003,CNY,ALL,14.729636,0.06789034
CURR_21752,2002,CNY,ALL,16.837893,0.059389854
CURR_21753,2001,CNY,ALL,17.568699,0.056919411
CURR_21754,2000,CNY,ALL,17.924246,0.055790352
CURR_21755,1999,CNY,ALL,18.249947,0.05479468
CURR_21756,1998,CNY,ALL,17.966542,0.055659013
CURR_21757,1997,CNY,ALL,19.913189,0.050217974
CURR_21758,1996,CNY,ALL,12.975549,0.07706803
CURR_21759,1995,CNY,ALL,10.419671,0.09597232
CURR_21760,1994,CNY,ALL,10.292196,0.097160995
CURR_21761,1993,CNY,ALL,18.268213,0.054739892
CURR_21762,1992,CNY,ALL,14.06171,0.071115106
CURR_21763,2021,CNY,AMD,78.124573,0.01280007
CURR_21764,2020,CNY,AMD,70.965015,0.014091451
CURR_21765,2019,CNY,AMD,69.54665,0.014378838
CURR_21766,2018,CNY,AMD,73.078335,0.013683946
CURR_21767,2017,CNY,AMD,71.437042,0.01399834
CURR_21768,2016,CNY,AMD,72.335406,0.013824489
CURR_21769,2015,CNY,AMD,76.037064,0.013151481
CURR_21770,2014,CNY,AMD,67.420079,0.014832377
CURR_21771,2013,CNY,AMD,66.663801,0.015000645
