Gender,Year,Year_Date_Time,Count,EventID,Country_code,Crime_type,Country,Region,Subregion,Region Code,Subregion Code,Value_Type,Metric_Type,Is_Currency,Age_Group,Start_Age,End_Age
Male,2000,01/01/2000,626,J000000040,616,Homicide,Poland,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,80,J000000041,620,Homicide,Portugal,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,660,J000000042,630,Homicide,Puerto Rico,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,416,J000000043,642,Homicide,Romania,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,30753,J000000044,643,Homicide,Russian Federation,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,1,J000000045,660,Homicide,Anguilla,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,20,J000000046,662,Homicide,Saint Lucia,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,0,J000000047,674,Homicide,San Marino,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,168,J000000048,688,Homicide,Serbia,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,95,J000000049,703,Homicide,Slovakia,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,59,J000000050,752,Homicide,Sweden,Europe,Northern Europe,150,154,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,30,J000000051,756,Homicide,Switzerland,Europe,Western Europe,150,155,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,4240,J000000052,764,Homicide,Thailand,Asia,South-eastern Asia,142,35,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,1,J000000053,776,Homicide,Tonga,Oceania,Polynesia,9,61,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,3109,J000000054,804,Homicide,Ukraine,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,35,J000000055,807,Homicide,North Macedonia,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,11876,J000000056,840,Homicide,United States of America,Americas,Northern America,19,21,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,20,J000000057,850,Homicide,United States Virgin Islands,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2000,01/01/2000,7501,J000000058,862,Homicide,Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,181,J000000059,8,Homicide,Albania,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,6,J000000060,28,Homicide,Antigua and Barbuda,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,230,J000000061,36,Homicide,Australia,Oceania,Australia and New Zealand,9,53,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,28,J000000062,40,Homicide,Austria,Europe,Western Europe,150,155,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,37,J000000063,44,Homicide,Bahamas,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,69,J000000064,51,Homicide,Armenia,Asia,Western Asia,142,145,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,20,J000000065,52,Homicide,Barbados,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,179,J000000066,56,Homicide,Belgium,Europe,Western Europe,150,155,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,53,J000000067,70,Homicide,Bosnia and Herzegovina,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,44040,J000000068,76,Homicide,Brazil,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,1,J000000069,92,Homicide,British Virgin Islands,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,246,J000000070,100,Homicide,Bulgaria,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,391,J000000071,124,Homicide,Canada,Americas,Northern America,19,21,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,1,J000000072,136,Homicide,Cayman Islands,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,25625,J000000073,170,Homicide,Colombia,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,228,J000000074,188,Homicide,Costa Rica,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,53,J000000075,191,Homicide,Croatia,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,446,J000000076,192,Homicide,Cuba,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,88,J000000077,203,Homicide,Czechia,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,32,J000000078,208,Homicide,Denmark,Europe,Northern Europe,150,154,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,0,J000000079,212,Homicide,Dominica,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,1509,J000000080,218,Homicide,Ecuador,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,107,J000000081,233,Homicide,Estonia,Europe,Northern Europe,150,154,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,108,J000000082,246,Homicide,Finland,Europe,Northern Europe,150,154,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,689,J000000083,276,Homicide,Germany,Europe,Western Europe,150,155,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,96,J000000084,300,Homicide,Greece,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,168,J000000085,348,Homicide,Hungary,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,31448,J000000086,356,Homicide,India,Asia,Southern Asia,142,34,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,44,J000000087,372,Homicide,Ireland,Europe,Northern Europe,150,154,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,155,J000000088,376,Homicide,Israel,Asia,Western Asia,142,145,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,537,J000000089,380,Homicide,Italy,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,382,J000000090,392,Homicide,Japan,Asia,Eastern Asia,142,30,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,318,J000000091,417,Homicide,Kyrgyzstan,Asia,Central Asia,142,143,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,263,J000000092,440,Homicide,Lithuania,Europe,Northern Europe,150,154,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,5,J000000093,442,Homicide,Luxembourg,Europe,Western Europe,150,155,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,90,J000000094,484,Homicide,Mexico,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,290,J000000095,498,Homicide,Republic of Moldova,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,0,J000000096,500,Homicide,Montserrat,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,134,J000000097,528,Homicide,Netherlands,Europe,Western Europe,150,155,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,8,J000000098,531,Homicide,Curaçao,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,2,J000000099,533,Homicide,Aruba,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,29,J000000100,554,Homicide,New Zealand,Oceania,Australia and New Zealand,9,53,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,22,J000000101,578,Homicide,Norway,Europe,Northern Europe,150,154,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,279,J000000102,591,Homicide,Panama,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,557,J000000103,616,Homicide,Poland,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,79,J000000104,620,Homicide,Portugal,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,733,J000000105,630,Homicide,Puerto Rico,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,4,J000000106,634,Homicide,Qatar,Asia,Western Asia,142,145,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,522,J000000107,642,Homicide,Romania,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,32165,J000000108,643,Homicide,Russian Federation,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,4,J000000109,659,Homicide,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,0,J000000110,674,Homicide,San Marino,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,167,J000000111,688,Homicide,Serbia,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,85,J000000112,703,Homicide,Slovakia,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,444,J000000113,724,Homicide,Spain,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,57,J000000114,752,Homicide,Sweden,Europe,Northern Europe,150,154,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,49,J000000115,756,Homicide,Switzerland,Europe,Western Europe,150,155,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,5,J000000116,776,Homicide,Tonga,Oceania,Polynesia,9,61,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,3368,J000000117,804,Homicide,Ukraine,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,14573,J000000118,840,Homicide,United States of America,Americas,Northern America,19,21,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,26,J000000119,850,Homicide,United States Virgin Islands,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2001,01/01/2001,7476,J000000120,862,Homicide,Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,177,J000000121,8,Homicide,Albania,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,3,J000000122,28,Homicide,Antigua and Barbuda,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,244,J000000123,36,Homicide,Australia,Oceania,Australia and New Zealand,9,53,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,27,J000000124,40,Homicide,Austria,Europe,Western Europe,150,155,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,39,J000000125,44,Homicide,Bahamas,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,49,J000000126,51,Homicide,Armenia,Asia,Western Asia,142,145,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,17,J000000127,52,Homicide,Barbados,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,186,J000000128,56,Homicide,Belgium,Europe,Western Europe,150,155,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,65,J000000129,70,Homicide,Bosnia and Herzegovina,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,45775,J000000130,76,Homicide,Brazil,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,1,J000000131,92,Homicide,British Virgin Islands,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,198,J000000132,100,Homicide,Bulgaria,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,375,J000000133,124,Homicide,Canada,Americas,Northern America,19,21,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,26144,J000000134,170,Homicide,Colombia,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,224,J000000135,188,Homicide,Costa Rica,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,41,J000000136,191,Homicide,Croatia,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,476,J000000137,192,Homicide,Cuba,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,81,J000000138,203,Homicide,Czechia,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,33,J000000139,208,Homicide,Denmark,Europe,Northern Europe,150,154,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,9,J000000140,212,Homicide,Dominica,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,1720,J000000141,218,Homicide,Ecuador,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,109,J000000142,233,Homicide,Estonia,Europe,Northern Europe,150,154,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,88,J000000143,246,Homicide,Finland,Europe,Northern Europe,150,154,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,698,J000000144,276,Homicide,Germany,Europe,Western Europe,150,155,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,70,J000000145,300,Homicide,Greece,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,115,J000000146,348,Homicide,Hungary,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,31217,J000000147,356,Homicide,India,Asia,Southern Asia,142,34,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,41,J000000148,372,Homicide,Ireland,Europe,Northern Europe,150,154,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,171,J000000149,376,Homicide,Israel,Asia,Western Asia,142,145,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,461,J000000150,380,Homicide,Italy,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,347,J000000151,392,Homicide,Japan,Asia,Eastern Asia,142,30,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,332,J000000152,417,Homicide,Kyrgyzstan,Asia,Central Asia,142,143,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,223,J000000153,440,Homicide,Lithuania,Europe,Northern Europe,150,154,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,8806,J000000154,484,Homicide,Mexico,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,274,J000000155,498,Homicide,Republic of Moldova,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,0,J000000156,500,Homicide,Montserrat,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,134,J000000157,528,Homicide,Netherlands,Europe,Western Europe,150,155,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,33,J000000158,531,Homicide,Curaçao,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,4,J000000159,533,Homicide,Aruba,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,33,J000000160,554,Homicide,New Zealand,Oceania,Australia and New Zealand,9,53,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,30,J000000161,578,Homicide,Norway,Europe,Northern Europe,150,154,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,336,J000000162,591,Homicide,Panama,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,511,J000000163,616,Homicide,Poland,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,81,J000000164,620,Homicide,Portugal,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,757,J000000165,630,Homicide,Puerto Rico,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,413,J000000166,642,Homicide,Romania,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,33536,J000000167,643,Homicide,Russian Federation,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,5,J000000168,659,Homicide,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,35,J000000169,662,Homicide,Saint Lucia,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,0,J000000170,674,Homicide,San Marino,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,143,J000000171,688,Homicide,Serbia,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,72,J000000172,703,Homicide,Slovakia,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,429,J000000173,724,Homicide,Spain,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,64,J000000174,752,Homicide,Sweden,Europe,Northern Europe,150,154,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,36,J000000175,756,Homicide,Switzerland,Europe,Western Europe,150,155,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,3840,J000000176,764,Homicide,Thailand,Asia,South-eastern Asia,142,35,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,5,J000000177,776,Homicide,Tonga,Oceania,Polynesia,9,61,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,2,J000000178,796,Homicide,Turks and Caicos Islands,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,2980,J000000179,804,Homicide,Ukraine,Europe,Eastern Europe,150,151,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,51,J000000180,807,Homicide,North Macedonia,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,12468,J000000181,840,Homicide,United States of America,Americas,Northern America,19,21,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,36,J000000182,850,Homicide,United States Virgin Islands,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2002,01/01/2002,8771,J000000183,862,Homicide,Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2003,01/01/2003,145,J000000184,8,Homicide,Albania,Europe,Southern Europe,150,39,Absolute,Homicide,No,Not Specified,0,130
Male,2003,01/01/2003,205,J000000185,36,Homicide,Australia,Oceania,Australia and New Zealand,9,53,Absolute,Homicide,No,Not Specified,0,130
Male,2003,01/01/2003,26,J000000186,40,Homicide,Austria,Europe,Western Europe,150,155,Absolute,Homicide,No,Not Specified,0,130
Male,2003,01/01/2003,44,J000000187,44,Homicide,Bahamas,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2003,01/01/2003,65,J000000188,51,Homicide,Armenia,Asia,Western Asia,142,145,Absolute,Homicide,No,Not Specified,0,130
Male,2003,01/01/2003,22,J000000189,52,Homicide,Barbados,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2003,01/01/2003,135,J000000190,56,Homicide,Belgium,Europe,Western Europe,150,155,Absolute,Homicide,No,Not Specified,0,130
Male,2003,01/01/2003,47082,J000000191,76,Homicide,Brazil,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
Male,2003,01/01/2003,1,J000000192,92,Homicide,British Virgin Islands,Americas,Latin America and the Caribbean,19,419,Absolute,Homicide,No,Not Specified,0,130
