Metric_Code,Base Year,Value,Value type,Metric name
MLCON000014827,2000,1.22E+12,Absolute,Exports of goods and services - Constant
MLCON000014828,2000,1.18E+12,Absolute,Exports of goods and services - Constant
MLCON000014829,2000,8.99E+11,Absolute,Exports of goods and services - Constant
MLCON000014830,2000,9.85E+11,Absolute,Exports of goods and services - Constant
MLCON000014831,2000,7.98E+11,Absolute,Exports of goods and services - Constant
MLCON000014832,2000,8.02E+11,Absolute,Exports of goods and services - Constant
MLCON000014833,2000,9.45E+11,Absolute,Exports of goods and services - Constant
MLCON000014834,2000,9.18E+11,Absolute,Exports of goods and services - Constant
MLCON000014835,2000,9.39E+11,Absolute,Exports of goods and services - Constant
MLCON000014836,2000,9.43E+11,Absolute,Exports of goods and services - Constant
MLCON000014837,2000,8.15E+11,Absolute,Exports of goods and services - Constant
MLCON000014838,2000,6.58E+11,Absolute,Exports of goods and services - Constant
MLCON000014839,2000,6.51E+11,Absolute,Exports of goods and services - Constant
MLCON000014840,2000,7.48E+11,Absolute,Exports of goods and services - Constant
MLCON000014841,2000,8.78E+11,Absolute,Exports of goods and services - Constant
MLCON000014842,2000,7.91E+11,Absolute,Exports of goods and services - Constant
MLCON000014843,2000,7.09E+11,Absolute,Exports of goods and services - Constant
MLCON000015843,2000,999583706.2,Absolute,Exports of goods and services - Constant
MLCON000015844,2000,965157517.8,Absolute,Exports of goods and services - Constant
MLCON000015845,2000,913221658.7,Absolute,Exports of goods and services - Constant
MLCON000015846,2000,876437586.6,Absolute,Exports of goods and services - Constant
MLCON000015847,2000,877301267.9,Absolute,Exports of goods and services - Constant
MLCON000015848,2000,841369166.2,Absolute,Exports of goods and services - Constant
MLCON000015849,2000,822449676.7,Absolute,Exports of goods and services - Constant
MLCON000015850,2000,878002534,Absolute,Exports of goods and services - Constant
MLCON000015851,2000,896263982.7,Absolute,Exports of goods and services - Constant
MLCON000015852,2000,905482866.8,Absolute,Exports of goods and services - Constant
MLCON000015853,2000,1036470917,Absolute,Exports of goods and services - Constant
MLCON000015854,2000,1123338910,Absolute,Exports of goods and services - Constant
MLCON000015855,2000,1183702615,Absolute,Exports of goods and services - Constant
MLCON000018734,2000,6.70E+12,Absolute,Exports of goods and services - Constant
MLCON000018735,2000,6.56E+12,Absolute,Exports of goods and services - Constant
MLCON000018736,2000,5.66E+12,Absolute,Exports of goods and services - Constant
MLCON000018737,2000,4.79E+12,Absolute,Exports of goods and services - Constant
MLCON000018738,2000,3.98E+12,Absolute,Exports of goods and services - Constant
MLCON000018739,2000,3.48E+12,Absolute,Exports of goods and services - Constant
MLCON000018740,2000,3.16E+12,Absolute,Exports of goods and services - Constant
MLCON000018741,2000,3.03E+12,Absolute,Exports of goods and services - Constant
MLCON000018742,2000,2.87E+12,Absolute,Exports of goods and services - Constant
MLCON000018743,2000,2.88E+12,Absolute,Exports of goods and services - Constant
MLCON000018744,2000,2.35E+12,Absolute,Exports of goods and services - Constant
MLCON000018745,2000,2.56E+12,Absolute,Exports of goods and services - Constant
MLCON000018746,2000,2.52E+12,Absolute,Exports of goods and services - Constant
MLCON000018747,2000,2.48E+12,Absolute,Exports of goods and services - Constant
MLCON000018748,2000,2.40E+12,Absolute,Exports of goods and services - Constant
MLCON000018749,2000,2.32E+12,Absolute,Exports of goods and services - Constant
MLCON000018750,2000,2.18E+12,Absolute,Exports of goods and services - Constant
MLCON000018751,2000,2.13E+12,Absolute,Exports of goods and services - Constant
MLCON000018752,2000,1.93E+12,Absolute,Exports of goods and services - Constant
MLCON000018753,2000,1.91E+12,Absolute,Exports of goods and services - Constant
MLCON000018754,2000,1.71E+12,Absolute,Exports of goods and services - Constant
MLCON000018755,2000,1.68E+12,Absolute,Exports of goods and services - Constant
MLCON000018756,2000,1.94E+12,Absolute,Exports of goods and services - Constant
MLCON000018757,2000,1.72E+12,Absolute,Exports of goods and services - Constant
MLCON000018758,2000,1.48E+12,Absolute,Exports of goods and services - Constant
MLCON000003641,2002,6.26E+12,Absolute,Exports of goods and services - Constant
MLCON000003642,2002,7.77E+12,Absolute,Exports of goods and services - Constant
MLCON000003643,2002,8.01E+12,Absolute,Exports of goods and services - Constant
MLCON000003644,2002,7.75E+12,Absolute,Exports of goods and services - Constant
